Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;SoftwareUtilitzat
148408;Digital Prints;Adam Lowe English, born 1959;1996;ComposicioDigital|ArtConceptual|DissenyDePersonatges|EscenariDigital|ProcesCreatiu;https://www.artic.edu/iiif/2/356a3da5-8f4e-8e6f-b558-634b172e844a/full/843,/0/default.jpg;2032;1332;CMYK;150;TIFF;Photoshop
75031;Colors;Students and Faculty of The School of Art and Design American, Unknown;1987;EfectesVisuals|ComposicioDigital|Texturitzat|PinturaDigital|ProcesCreatiu;https://www.artic.edu/iiif/2/5e18cbc7-2ef1-c20d-02de-2121b5e15532/full/843,/0/default.jpg;2582;1628;sRGB;300;JPEG;Coreldraw
48245;Helen Dybvig;Sonia Landy Sheridan (American, 1925-2021) and Douglas Dybvig (American, born 1935);1974;;https://www.artic.edu/iiif/2/4c31c021-147d-6f2f-432a-d7b87a5329a7/full/843,/0/default.jpg;2716;1398;RGB;72;TIFF;Blander
189813;Airborne Snotty Vase: Influenza;Marcel Wanders (Dutch, born 1963) Manufactured by Cappellini S.p.A. (Italian, founded 1946);2001;ImatgeriaGenerada|EfectesVisuals|EscenariDigital|Texturitzat|ModelatSolid;https://www.artic.edu/iiif/2/10e26d39-96f5-6a3b-acab-dff0f5d9f913/full/843,/0/default.jpg;2439;1935;RGB;96;TIFF;3DStudio
180589;Field Museum, Drawer of Northern Cardinals, Various Dates;Terry Evans American, born 1944;2001;DissenyDePersonatges|ComposicioDigital|ProcesCreatiu|ArtConceptual|EscenariDigital|EfectesVisuals;https://www.artic.edu/iiif/2/991171cf-a9e9-dd2b-46dc-a32e0658aea3/full/843,/0/default.jpg;2835;962;Adobe RGB;72;JPEG;Blander
184493;View from the 12th Floor Terrace of the University Club, Chicago;Terry Evans American, born 1944;2220;ArtConceptual|EscenariDigital|ComposicioDigital;https://www.artic.edu/iiif/2/3c44d53e-77d8-6e86-e4be-94d22191118f/full/843,/0/default.jpg;3019;2204;CMYK;72;WebP;3DStudio
146254;Connie Chung, from series Untitled Newswomen (Joan Lunden, Jane Pauley, Connie Chung, and Diane Sawyer);Robert Heinecken American, 1931–2006;1986;ImatgeriaGenerada|Texturitzat|ModelatSolid;https://www.artic.edu/iiif/2/131796fa-233c-f376-23d5-82c1efb9108d/full/843,/0/default.jpg;2920;1801;Adobe RGB;72;PNG;Coreldraw
180593;Field Museum, Trumpeter Swan, North Dakota, 1891;Terry Evans American, born 1944;2001;;https://www.artic.edu/iiif/2/fdf2caf9-a582-0c76-c7e6-de642c72f140/full/843,/0/default.jpg;1197;791;CMYK;96;PNG;Coreldraw
196523;Presto Digital Bracelet;Scott Wilson  American, born 1969  Manufactured by Nike  American, founded 1964;2002;DissenyDePersonatges|ImatgeriaGenerada;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;2229;1595;CMYK;72;JPEG;Maya
191220;Ravioli Chair;Greg Lynn American, born 1964  Manufactured by Vitra  Swiss, founded Germany 1950;2005;PortfolioProfessional|ImatgeriaGenerada|DissenyDePersonatges|ArtConceptual|DibuixRapid|ComposicioDigital;https://www.artic.edu/iiif/2/c8fe134f-8a7f-a191-abc1-4f18af3cb388/full/843,/0/default.jpg;2437;1684;CMYK;300;PNG;Photoshop
187496;A Thousand Centuries;Esther Parada American, 1938–2005;1992;ArtConceptual|DissenyDePersonatges;https://www.artic.edu/iiif/2/baff5701-d28e-8bc1-e00f-b8e3303a0ef2/full/843,/0/default.jpg;1403;2232;RGB;150;PNG;Gimp
180590;Field Museum, Drawer of Eastern Meadowlarks, Various Dates;Terry Evans American, born 1944;2001;ArtConceptual|EscenariDigital|EfectesVisuals;https://www.artic.edu/iiif/2/6a85ec60-7b56-3de0-c23e-6401840c39b8/full/843,/0/default.jpg;1684;2222;sRGB;150;WebP;Blander
102487;Untitled;Carl Toth American, 1947-2022;1982;ImatgeriaGenerada|PinturaDigital|PortfolioProfessional;https://www.artic.edu/iiif/2/dac17068-2b6e-ca42-efb4-5fed1828ba11/full/843,/0/default.jpg;2891;2397;sRGB;72;TIFF;Photoshop
188540;Sur, Long Island City, New York;Hernán Díaz Alonso American, born Argentina, 1969 Xefirotarch  American, founded 2001;2005;ProcesCreatiu|DissenyDePersonatges|DibuixRapid|EscenariDigital|Texturitzat;https://www.artic.edu/iiif/2/b4e0002f-8e04-7517-78a5-87329f6e5142/full/843,/0/default.jpg;1755;1819;RGB;96;WebP;Sketch
