Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons;Narrador;Idioma;Capitols
47;Count of Monte Cristo;Alexandre Dumas;1844;;https://archive.org/compress/count_monte_cristo_0711_librivox/formats=64KBPS MP3&file=/count_monte_cristo_0711_librivox.zip;Misteri;Kbps360;True;178995;Alexandre Dumas;English;128
52;Letters of Two Brides;Honoré de Balzac;1902;EnregistramentEstudi|ExperienciaAuditiva|ProduccioEditorial|LecturaEnCatala|CulturaSonora;https://archive.org/compress/letters_brides_0709_librivox/formats=64KBPS MP3&file=/letters_brides_0709_librivox.zip;Històric;Kbps64;True;32960;Honoré de Balzac;English;57
53;Bleak House;Charles Dickens;1853;InterpretacioVocal|AudioImmersiu|ProduccioEditorial|LecturaEnCatala;https://archive.org/compress/bleak_house_cl_librivox/formats=64KBPS MP3&file=/bleak_house_cl_librivox.zip;Misteri;Kbps360;True;156619;Charles Dickens;English;67
54;Penguin Island;Anatole France;1908;NarracioIntegra|ProduccioEditorial|LecturaEnCatala|EnregistramentEstudi;https://archive.org/compress/penguin_island_ms_librivox/formats=64KBPS MP3&file=/penguin_island_ms_librivox.zip;No-ficció;Kbps192;True;32671;Anatole France;English;62
55;This Side of Paradise;F. Scott Fitzgerald;1920;DissenySonor;https://archive.org/compress/this_side_paradise_librivox/formats=64KBPS MP3&file=/this_side_paradise_librivox.zip;Misteri;Kbps128;True;32184;F. Scott Fitzgerald;English;22
56;Secret Garden;Frances Hodgson Burnett;1909;;https://archive.org/compress/secret_garden_librivox/formats=64KBPS MP3&file=/secret_garden_librivox.zip;Històric;Kbps360;True;32905;Frances Hodgson Burnett;English;27
57;Twenty Years After;Alexandre Dumas;1856;LletrAferit;https://archive.org/compress/twentyyearsafter_0904_librivox/formats=64KBPS MP3&file=/twentyyearsafter_0904_librivox.zip;Ciència-ficció;Kbps360;True;92588;Alexandre Dumas;English;90
59;Adventures of Huckleberry Finn;Mark Twain;1884;VeuNarrativa|DissenySonor|ProduccioEditorial|CulturaSonora|NarracioIntegra;https://archive.org/compress/huck_finn_librivox/formats=64KBPS MP3&file=/huck_finn_librivox.zip;No-ficció;Kbps64;True;38527;Mark Twain;English;47
64;Heart of Darkness;Joseph Conrad;1902;;https://archive.org/compress/heart_of_darkness/formats=64KBPS MP3&file=/heart_of_darkness.zip;Misteri;Kbps128;True;15012;Joseph Conrad;English;6
650000;Odyssey;Homer;1900;LletrAferit;https://archive.org/compress/odyssey_butler_librivox/formats=64KBPS MP3&file=/odyssey_butler_librivox.zip;Ficció;Kbps128;True;40705;Homer;English;24
66000;Märchen (Index aller Märchen);Jacob & Wilhelm Grimm;0;InterpretacioVocal|LecturaEnCatala|LletrAferit|CulturaSonora;;Misteri;Kbps192;True;0;Jacob & Wilhelm Grimm;German;0
