Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;GenereLiterari;TapaDura
56856;L'auca del senyor Esteve: ab redolins dibuixats per en Ramón Casas, escrits per en Gabriel Alomar;Rusiñol, Santiago;1861;IllustracioDePortada|EdicioLimitada|DissenyEditorial|CulturaEscrita|NarrativaLiteral;https://www.gutenberg.org/ebooks/56856.html.images;ca;50000;HarperCollins;978-7-81195-311-3;426;Catalan fiction;True
77624;Mariners catalans célebres : $b Discurs llegit en l'Associació Catalanista d'Excursions Científicas lo día 28 d'octubre de 1881;Soler y Puig, Lluís Maria;0;CorreccioEstilistica|ArquitecturaDelRelat|NarrativaLiteral;https://www.gutenberg.org/ebooks/77624.html.images;ca;150000;HarperCollins;978-8-98995-735-7;444;Sailors -- Spain -- Catalonia -- Biography;True
77581;L'ignoscenta : $b Tragedia en tres quadros;Puig i Ferreter, Joan;1882;;https://www.gutenberg.org/ebooks/77581.html.images;ca;100000;Anagrama;978-4-63340-657-0;385;Catalan drama;True
14816;La Mare-Balena;Català, Víctor;1869;NarrativaLiteral|CorreccioEstilistica|GenereLiterari|DissenyEditorial|ProlegIIndex|TiratgeOriginal;https://www.gutenberg.org/ebooks/14816.html.images;ca;100000;Simon & Schuster;978-9-77681-227-4;476;Short stories;True
72856;L'escanya-pobres;Oller, Narcís;1846;SinopsiNarrativa|NarrativaLiteral|EdicioLimitada;https://www.gutenberg.org/ebooks/72856.html.images;ca;50000;Editorial Planeta;978-6-92551-561-2;193;Catalan fiction;True
52409;Visions & Cants;Maragall, Joan;1860;ArquitecturaDelRelat|GenereLiterari|ProlegIIndex;https://www.gutenberg.org/ebooks/52409.html.images;ca;100000;Anagrama;978-5-46814-401-4;341;Catalan poetry;False
30890;Les Aventures De Tom Sawyer;Twain, Mark;1835;CorreccioEstilistica|GenereLiterari|DissenyEditorial;https://www.gutenberg.org/ebooks/30890.html.images;ca;50000;Editorial Planeta;978-7-89326-165-1;318;Adventure stories;True
35817;Tradicions religiosas de Catalunya;Valldaura, Agna de;1854;CulturaEscrita|ProlegIIndex|IllustracioDePortada;https://www.gutenberg.org/ebooks/35817.html.images;ca;100000;Anagrama;978-5-33148-847-8;323;Catalonia (Spain) -- Religion;True
77486;Aigües encantades;Puig i Ferreter, Joan;1882;GenereLiterari|ProlegIIndex;https://www.gutenberg.org/ebooks/77486.html.images;ca;200000;Editorial Planeta;978-3-32782-344-4;379;Catalan drama;True
27142;Contes D'Andersen;Andersen, H. C. (Hans Christian);1805;GenereLiterari|DissenyEditorial;https://www.gutenberg.org/ebooks/27142.html.images;ca;75000;Simon & Schuster;978-1-47944-845-1;421;Children's stories, Danish -- Translations into Catalan;False
63871;El Tirant lo Blanch i D. Quijote de La Mancha;Givanel Mas, J. (Juan);1868;EnquadernacioArtesana|ProlegIIndex|CorreccioEstilistica;https://www.gutenberg.org/ebooks/63871.html.images;ca;150000;Anagrama;978-9-72083-529-3;431;Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote;True
75521;Les gràcies de l'Empordà;Coromines, Pere;1870;ArquitecturaDelRelat|NarrativaLiteral|DissenyEditorial|IllustracioDePortada|CorreccioEstilistica;https://www.gutenberg.org/ebooks/75521.html.images;ca;150000;HarperCollins;978-9-15384-472-3;315;Catalan literature;True
23021;Sang Nova: Novel, la muntanyenca (Volumes 1 and 2);Vayreda, Marià;1853;IllustracioDePortada|ArquitecturaDelRelat|EdicioLimitada;https://www.gutenberg.org/ebooks/23021.html.images;ca;75000;Editorial Planeta;978-9-87808-242-6;194;Fiction;True
52673;Els habitants de la lluna;Morató, Joseph;1875;TiratgeOriginal|NarrativaLiteral|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/52673.html.images;ca;200000;Simon & Schuster;978-2-60007-601-5;296;Catalan fiction;False
14768;La Parada;Ruyra, Joaquín;1858;NarrativaLiteral|IllustracioDePortada|TiratgeOriginal|CorreccioEstilistica|DissenyEditorial|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/14768.html.images;ca;100000;Editorial Planeta;978-2-50737-600-0;484;Fiction;True
73408;Josafat;Bertrana, Prudenci;1867;CulturaEscrita|ArquitecturaDelRelat|DissenyEditorial|NarrativaLiteral|TiratgeOriginal|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/73408.html.images;ca;75000;HarperCollins;978-9-87408-325-5;451;Catalan fiction -- 20th century;True
17219;La creació d'Eva i altres contes;Carner, Josep;1884;EnquadernacioArtesana|NarrativaLiteral;https://www.gutenberg.org/ebooks/17219.html.images;ca;150000;Simon & Schuster;978-7-82193-635-7;379;Fiction;False
56866;Enllà: Poesies;Maragall, Joan;1860;GenereLiterari|EdicioLimitada|EnquadernacioArtesana|CulturaEscrita|DissenyEditorial|IllustracioDePortada;https://www.gutenberg.org/ebooks/56866.html.images;ca;75000;HarperCollins;978-8-15559-196-6;162;Catalan poetry;False
24729;Paulina Buxareu;Sagarra, Josep Maria de;1894;ArquitecturaDelRelat|SinopsiNarrativa|CorreccioEstilistica|IllustracioDePortada|DissenyEditorial;https://www.gutenberg.org/ebooks/24729.html.images;ca;200000;HarperCollins;978-9-19068-553-5;432;Fiction;True
20253;Llibre D'històries;Casellas, Raimón;1855;DissenyEditorial|ProlegIIndex;https://www.gutenberg.org/ebooks/20253.html.images;ca;50000;HarperCollins;978-8-94033-437-8;308;Catalan literature;False
