Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;TipusProjeccio;Escala;RegioGeografica;DimensionsFisiques
2158;Noah Smith;Ralph Earl American, 1751–1801;1798;;https://www.artic.edu/iiif/2/59bf5216-383d-c2d4-912a-f8cfcbdaa55a/full/843,/0/default.jpg;Català;1000;Institut Cartogràfic;978-1-96236-134-1;4;Mercator;1:25000;Bennington;70x100 cm
15132;Sampler (Map);England;1800;;https://www.artic.edu/iiif/2/bb513b07-82c7-cdd3-cca3-1fe729bc82e5/full/843,/0/default.jpg;Castellà;500;Institut Cartogràfic;978-9-15279-293-4;4;Cilíndrica;1:500000;England;70x100 cm
15114;Russo-Japanese War (Handkerchief);Russia;19;AnalisiEspacial|CartografiaHistorica|ProjeccioCartografica|RelleuITopografia;https://www.artic.edu/iiif/2/4c27424d-affd-946e-4515-31a072d9e545/full/843,/0/default.jpg;Català;500;Editorial Maps;978-5-12000-879-3;4;Conic;1:50000;Russia;60x80 cm
196347;Plan of Chicago, Chicago, Illinois, Diagram Showing City Growth;Daniel Hudson Burnham (American, 1846-1912) Edward Herbert Bennett (American, born England, 1874-1954);1909;Georeferenciacio|CartografiaHistorica;https://www.artic.edu/iiif/2/8da8a9e1-48f7-9bc1-982a-2206dae4f522/full/843,/0/default.jpg;Alemany;500;National Geographic;978-8-59362-974-6;4;Mercator;1:50000;Chicago;60x80 cm
16398;The Music Lesson;Jacob Ochtervelt (Dutch, 1634-1682);1671;Batimetria|EscalaVisual|LlegendaTematica;https://www.artic.edu/iiif/2/c6c6a21a-b985-35d9-b0ef-a2b798ad9fba/full/843,/0/default.jpg;Alemany;2000;Editorial Maps;978-7-66518-890-3;3;Conic;1:10000;Holland;100x140 cm
14859;The Map;Mary Cassatt American, 1844-1926;1890;ProjeccioCartografica|AnalisiEspacial|RelleuITopografia;https://www.artic.edu/iiif/2/4ed40b57-8c92-9f36-2cd6-08573d25ab35/full/843,/0/default.jpg;Francès;2000;Editorial Maps;978-8-22621-375-2;4;Azimutal;1:500000;United States;120x160 cm
77855;Map of North America (Handkerchief);Engraved by R. Gray (Scottish, 1811) after Robert Wilkinson (1804) Scotland, Glasgow;1811;EscalaVisual;https://www.artic.edu/iiif/2/64bbfef9-22b3-b339-77de-ec0de0b1b672/full/843,/0/default.jpg;Català;2000;National Geographic;978-2-50739-582-8;1;Azimutal;1:25000;Glasgow;70x100 cm
98705;Two Maps I;Jasper Johns (American, born 1930) published by Universal Limited Art Editions (American, founded 1955) printed by Ben Berns;1965;Georeferenciacio|EscalaVisual|CartografiaHistorica|LlegendaTematica|ProjeccioCartografica;https://www.artic.edu/iiif/2/6f82c731-2be0-7d16-8bf8-a764a082dc3a/full/843,/0/default.jpg;Castellà;1000;National Geographic;978-4-82303-825-6;3;Robinson;1:250000;United States;70x100 cm
185220;The Campus Martius of Ancient Rome, the Work of G.B. Piranesi, Fellow of the Royal Society of Antiquaries, London;Giovanni Battista Piranesi Italian, 1720-1778;1762;XarxaGeodesica|ProjeccioCartografica;https://www.artic.edu/iiif/2/3a30e920-6603-5906-2156-da570a1bf896/full/843,/0/default.jpg;Francès;1500;Institut Cartogràfic;978-4-18819-199-0;3;Mercator;1:250000;Italy;120x160 cm
104656;Map of the Middle West;Europe or United States;1931;ProjeccioCartografica|SistemesDInformacioGeografica|Batimetria|XarxaGeodesica;https://www.artic.edu/iiif/2/92a67358-af12-dc83-7a16-dcbadbf69b18/full/843,/0/default.jpg;Alemany;2000;Editorial Maps;978-6-56435-824-3;4;Robinson;1:25000;Europe;60x80 cm
69186;Map;Zeke Berman American, born 1951;1979;SistemesDInformacioGeografica;https://www.artic.edu/iiif/2/a76b27b1-2386-1240-aa11-d72992eda9ad/full/843,/0/default.jpg;Català;2000;Institut Cartogràfic;978-5-63816-740-7;3;Azimutal;1:25000;United States;120x160 cm
157065;Map of North America;Abelardo Morell American, born Cuba 1948;1996;XarxaGeodesica|Batimetria|ProjeccioCartografica;https://www.artic.edu/iiif/2/c8c41a4f-6907-a0bb-249e-a8d7e96d54d8/full/843,/0/default.jpg;Anglès;1000;National Geographic;978-6-21519-690-7;2;Estereogràfica;1:10000;United States;60x80 cm
158432;Map Quilt;Indiana, United States;1920;Batimetria|EscalaVisual|LlegendaTematica|AnalisiEspacial;https://www.artic.edu/iiif/2/937122df-86a1-d7db-f210-69a9f5353448/full/843,/0/default.jpg;Català;500;Editorial Maps;978-9-78580-128-7;2;Conic;1:500000;Indiana;90x120 cm
198976;Camouflage House, Burr Ridge, Illinois, Model;Architecture Garofalo Leary (American, 1990-1992) Douglas Garofalo (American, 1958-2011) David Leary (American, born 1956);1991;Georeferenciacio|DadesVectorials|SistemesDInformacioGeografica|LlegendaTematica|RelleuITopografia;https://www.artic.edu/iiif/2/934a57ff-b343-afae-935a-46be8f666293/full/843,/0/default.jpg;Francès;750;GeoPress;978-8-87860-965-9;1;Cilíndrica;1:100000;Burr Ridge;90x120 cm
206414;Atlas of the Conflict: Israel-Palestine;Malkit Shoshan (Israeli, born 1976) Joost Grootens (Dutch, born 1971) Published by 010 Publishers (Dutch, founded c. 1982);2010;LlegendaTematica|EscalaVisual|XarxaGeodesica|RelleuITopografia;https://www.artic.edu/iiif/2/67725541-0646-ca62-fc00-547d598f5de1/full/843,/0/default.jpg;Alemany;2000;Editorial Maps;978-8-24056-798-9;2;Estereogràfica;1:500000;Netherlands;120x160 cm
23430;Map Sampler;England;1800;ProjeccioCartografica;https://www.artic.edu/iiif/2/4039e7c8-ad12-1a73-e32e-56d75e612e35/full/843,/0/default.jpg;Anglès;2000;Editorial Maps;978-5-97624-178-7;4;Mercator;1:25000;England;70x100 cm
147431;New Tokyo City Hall: Design Drawings. Tokyo, Japan.;Tange, Kenzo, Associates (Japan. 20th Cent.) Kenzo Tange (Japanese, 1913-2005);1991;SistemesDInformacioGeografica|Georeferenciacio;https://www.artic.edu/iiif/2/35f56f50-ecc7-3125-9e20-67b1556b4740/full/843,/0/default.jpg;Francès;2000;National Geographic;978-3-14790-174-5;3;Robinson;1:100000;Tokyo;90x120 cm
23436;Panel (Map);England;1784;Georeferenciacio|SistemesDInformacioGeografica;https://www.artic.edu/iiif/2/2dbcd989-298b-e731-cfeb-69745336e044/full/843,/0/default.jpg;Castellà;750;Institut Cartogràfic;978-8-79374-602-7;1;Robinson;1:100000;England;70x100 cm
153679;Untitled Book;Jolanta Rudzka-Habisiak (Polish, born 1958) Poland;1999;Georeferenciacio|DadesVectorials|RelleuITopografia;https://www.artic.edu/iiif/2/499d6b22-08c8-e1dc-de22-5a38b9e71197/full/843,/0/default.jpg;Francès;750;GeoPress;978-6-30551-950-5;4;Cilíndrica;1:500000;Poland;60x80 cm
