Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons
322486;Explosion 9;LiamG_SFX;2018;EnvolventADSR|CaptacioDeCamp|MonoStereoAmbisonic|PaisatgeSonor;https://cdn.freesound.org/previews/322/322486_5514134-hq.mp3;Foley;Kbps96;True;3,81812
322495;Explosion 13;LiamG_SFX;2020;EnvolventADSR;https://cdn.freesound.org/previews/322/322495_5514134-hq.mp3;Urbà;Kbps360;True;1,74086
322496;Explosion 13b;LiamG_SFX;2018;MonoStereoAmbisonic|FrequenciaDeMostratge|PaisatgeSonor|AillamentAcustic|CaptacioDeCamp;https://cdn.freesound.org/previews/322/322496_5514134-hq.mp3;Ambiental;Kbps128;True;1,75057
322481;Explosion 1;LiamG_SFX;2022;Postprocessament|TexturaSonora|FoleyArt|AillamentAcustic|MonoStereoAmbisonic|LlenguatgeSonor;https://cdn.freesound.org/previews/322/322481_5514134-hq.mp3;Mecànic;Kbps64;True;2,71814
478277;8-Bit Explosion 1_6;Joao_Janz;2020;SoDielgetic|CaptacioDeCamp|Postprocessament|FrequenciaDeMostratge|MonoStereoAmbisonic;https://cdn.freesound.org/previews/478/478277_9961300-hq.mp3;Foley;Kbps64;True;1,22656
317761;SFX_Explosion_13.wav;jalastram;2024;;https://cdn.freesound.org/previews/317/317761_3905081-hq.mp3;Ambiental;Kbps96;False;3,62948
336006;Sharp Explosion 1 (of 5);Rudmer_Rotteveel;2023;EnvolventADSR|FontSonora|Postprocessament|CaptacioDeCamp|LlenguatgeSonor;https://cdn.freesound.org/previews/336/336006_4921277-hq.mp3;Electrònic;Kbps192;True;0,699592
322482;Explosion 10b;LiamG_SFX;2020;CaptacioDeCamp|FrequenciaDeMostratge|SoDielgetic;https://cdn.freesound.org/previews/322/322482_5514134-hq.mp3;Electrònic;Kbps192;True;0,910295
317752;SFX_Explosion_07.wav;jalastram;2021;Postprocessament|CaptacioDeCamp;https://cdn.freesound.org/previews/317/317752_3905081-hq.mp3;Foley;Kbps192;False;2,06934
317749;SFX_Explosion_02.wav;jalastram;2020;FoleyArt|CaptacioDeCamp|EnvolventADSR|SoDielgetic|TexturaSonora;https://cdn.freesound.org/previews/317/317749_3905081-hq.mp3;Natura;Kbps360;False;0,900726
317758;SFX_Explosion_19.wav;jalastram;2022;FontSonora|EnvolventADSR|SoDielgetic;https://cdn.freesound.org/previews/317/317758_3905081-hq.mp3;Ambiental;Kbps128;False;3,22961
322506;Explosion 6,7 & 8 (layered);LiamG_SFX;2022;;https://cdn.freesound.org/previews/322/322506_5514134-hq.mp3;Natura;Kbps64;True;3,81812
478273;8-Bit Explosion 1_2;Joao_Janz;2022;CaptacioDeCamp|Postprocessament|PaisatgeSonor|SoDielgetic;https://cdn.freesound.org/previews/478/478273_9961300-hq.mp3;Foley;Kbps128;True;1,3125
336009;Sharp Explosion Weird_Natural_reverb;Rudmer_Rotteveel;2023;TexturaSonora|PaisatgeSonor;https://cdn.freesound.org/previews/336/336009_4921277-hq.mp3;Mecànic;Kbps192;True;3,48517
322492;Explosion 7b;LiamG_SFX;2020;LlenguatgeSonor|FrequenciaDeMostratge|MonoStereoAmbisonic|SoDielgetic;https://cdn.freesound.org/previews/322/322492_5514134-hq.mp3;Foley;Kbps64;True;1,05034
336005;Sharp Explosion 2 (of 5);Rudmer_Rotteveel;2018;SoDielgetic;https://cdn.freesound.org/previews/336/336005_4921277-hq.mp3;Mecànic;Kbps64;True;1,0161
322485;Explosion 11;LiamG_SFX;2024;;https://cdn.freesound.org/previews/322/322485_5514134-hq.mp3;Mecànic;Kbps192;True;0,872562
322510;Explosion 1c;LiamG_SFX;2020;;https://cdn.freesound.org/previews/322/322510_5514134-hq.mp3;Urbà;Kbps64;True;2,71814
322490;Explosion 7d;LiamG_SFX;2024;Postprocessament|AillamentAcustic|CaptacioDeCamp|TexturaSonora;https://cdn.freesound.org/previews/322/322490_5514134-hq.mp3;Foley;Kbps192;True;0,994626
322493;Explosion 11e;LiamG_SFX;2018;SoDielgetic;https://cdn.freesound.org/previews/322/322493_5514134-hq.mp3;Natura;Kbps192;True;7,039
322509;Explosion 2;LiamG_SFX;2019;FoleyArt|SoDielgetic|EnvolventADSR|PaisatgeSonor;https://cdn.freesound.org/previews/322/322509_5514134-hq.mp3;Electrònic;Kbps192;True;2,60029
322494;Explosion 12;LiamG_SFX;2022;Postprocessament|TexturaSonora|MonoStereoAmbisonic|PaisatgeSonor|FontSonora;https://cdn.freesound.org/previews/322/322494_5514134-hq.mp3;Ambiental;Kbps96;True;2,09816
317766;SFX_Explosion_20.wav;jalastram;2019;EnvolventADSR|SoDielgetic|FontSonora|LlenguatgeSonor|CaptacioDeCamp;https://cdn.freesound.org/previews/317/317766_3905081-hq.mp3;Mecànic;Kbps128;False;2,2805399
317764;SFX_Explosion_16.wav;jalastram;2023;FrequenciaDeMostratge|MonoStereoAmbisonic|EnvolventADSR|SoDielgetic;https://cdn.freesound.org/previews/317/317764_3905081-hq.mp3;Mecànic;Kbps96;False;3,79782
322491;Explosion 7a;LiamG_SFX;2022;TexturaSonora;https://cdn.freesound.org/previews/322/322491_5514134-hq.mp3;Natura;Kbps96;True;2,7591199
317765;SFX_Explosion_21.wav;jalastram;2021;FoleyArt;https://cdn.freesound.org/previews/317/317765_3905081-hq.mp3;Electrònic;Kbps360;False;2,35937
322512;Explosion 15b;LiamG_SFX;2020;PaisatgeSonor;https://cdn.freesound.org/previews/322/322512_5514134-hq.mp3;Natura;Kbps128;False;1,61052
322483;Explosion 10.wav;LiamG_SFX;2021;;https://cdn.freesound.org/previews/322/322483_5514134-hq.mp3;Electrònic;Kbps96;True;4,0618999
560578;Explosion 6.wav;theplax;2023;MonoStereoAmbisonic|TexturaSonora|EnvolventADSR|FontSonora|PaisatgeSonor|LlenguatgeSonor;https://cdn.freesound.org/previews/560/560578_12172648-hq.mp3;Natura;Kbps192;True;1,4
322504;Explosion 6a;LiamG_SFX;2022;PaisatgeSonor|AillamentAcustic|EnvolventADSR|TexturaSonora|LlenguatgeSonor|CaptacioDeCamp;https://cdn.freesound.org/previews/322/322504_5514134-hq.mp3;Mecànic;Kbps128;False;5,378
317754;SFX_Explosion_05.wav;jalastram;2023;PaisatgeSonor|FontSonora|MonoStereoAmbisonic;https://cdn.freesound.org/previews/317/317754_3905081-hq.mp3;Foley;Kbps64;False;1,5117
322511;Explosion 1b;LiamG_SFX;2022;TexturaSonora|SoDielgetic|LlenguatgeSonor|FoleyArt;https://cdn.freesound.org/previews/322/322511_5514134-hq.mp3;Foley;Kbps360;True;2,71814
317750;SFX_Explosion_01.wav;jalastram;2018;FrequenciaDeMostratge|TexturaSonora;https://cdn.freesound.org/previews/317/317750_3905081-hq.mp3;Foley;Kbps128;False;0,955465
322503;Explosion 6b;LiamG_SFX;2018;FontSonora|FoleyArt|CaptacioDeCamp;https://cdn.freesound.org/previews/322/322503_5514134-hq.mp3;Electrònic;Kbps360;False;5,30882
322499;Explosion 14a;LiamG_SFX;2019;CaptacioDeCamp|Postprocessament;https://cdn.freesound.org/previews/322/322499_5514134-hq.mp3;Urbà;Kbps96;True;2,19308
336011;Sharp Explosion 4 (of 5);Rudmer_Rotteveel;2019;Postprocessament|AillamentAcustic;https://cdn.freesound.org/previews/336/336011_4921277-hq.mp3;Mecànic;Kbps360;True;1,04882
478272;8-Bit Explosion 1_3;Joao_Janz;2019;;https://cdn.freesound.org/previews/478/478272_9961300-hq.mp3;Ambiental;Kbps96;True;0,90625
317763;SFX_Explosion_15.wav;jalastram;2018;LlenguatgeSonor;https://cdn.freesound.org/previews/317/317763_3905081-hq.mp3;Electrònic;Kbps192;False;3,62082
478276;8-Bit Explosion 1_7;Joao_Janz;2023;FoleyArt;https://cdn.freesound.org/previews/478/478276_9961300-hq.mp3;Natura;Kbps96;True;1,3125
478274;8-Bit Explosion 1_1;Joao_Janz;2020;FoleyArt;https://cdn.freesound.org/previews/478/478274_9961300-hq.mp3;Natura;Kbps64;True;1,0625
560576;Explosion 3.wav;theplax;2020;LlenguatgeSonor|Postprocessament|CaptacioDeCamp|EnvolventADSR|MonoStereoAmbisonic;https://cdn.freesound.org/previews/560/560576_12172648-hq.mp3;Natura;Kbps128;True;0,826848
560577;Explosion 2.wav;theplax;2018;Postprocessament|FoleyArt;https://cdn.freesound.org/previews/560/560577_12172648-hq.mp3;Foley;Kbps64;True;2,47093
336010;Sharp Explosion 5 (of 5);Rudmer_Rotteveel;2021;AillamentAcustic|LlenguatgeSonor|FontSonora|Postprocessament|MonoStereoAmbisonic;https://cdn.freesound.org/previews/336/336010_4921277-hq.mp3;Electrònic;Kbps96;True;1,3945399
434431;explosion09.wav;V-ktor;2021;Postprocessament|MonoStereoAmbisonic|AillamentAcustic;https://cdn.freesound.org/previews/434/434431_8836484-hq.mp3;Electrònic;Kbps96;False;2,19143
322487;Explosion 7e;LiamG_SFX;2020;;https://cdn.freesound.org/previews/322/322487_5514134-hq.mp3;Foley;Kbps64;True;5,57937
317751;SFX_Explosion_08.wav;jalastram;2023;AillamentAcustic|FontSonora|FoleyArt|EnvolventADSR|FrequenciaDeMostratge|Postprocessament;https://cdn.freesound.org/previews/317/317751_3905081-hq.mp3;Natura;Kbps64;False;2,05383
560579;Explosion 5.wav;theplax;2021;SoDielgetic|CaptacioDeCamp;https://cdn.freesound.org/previews/560/560579_12172648-hq.mp3;Foley;Kbps96;True;4,72417
560575;Explosion 4.wav;theplax;2022;FontSonora|FoleyArt;https://cdn.freesound.org/previews/560/560575_12172648-hq.mp3;Foley;Kbps360;True;1,62098
317747;SFX_Explosion_04.wav;jalastram;2024;TexturaSonora|Postprocessament|LlenguatgeSonor|FoleyArt|FontSonora;https://cdn.freesound.org/previews/317/317747_3905081-hq.mp3;Natura;Kbps192;False;0,7461219
322479;Explosion 11d;LiamG_SFX;2019;AillamentAcustic|FoleyArt|CaptacioDeCamp|LlenguatgeSonor|PaisatgeSonor|FontSonora;https://cdn.freesound.org/previews/322/322479_5514134-hq.mp3;Mecànic;Kbps360;True;3,10372
560580;Explosion 1.wav;theplax;2019;EnvolventADSR|AillamentAcustic|PaisatgeSonor|Postprocessament|FrequenciaDeMostratge|CaptacioDeCamp;https://cdn.freesound.org/previews/560/560580_12172648-hq.mp3;Urbà;Kbps360;True;1,40052
322480;Explosion 11c;LiamG_SFX;2024;PaisatgeSonor|MonoStereoAmbisonic|AillamentAcustic;https://cdn.freesound.org/previews/322/322480_5514134-hq.mp3;Electrònic;Kbps128;True;3,10372
322484;Explosion 11b;LiamG_SFX;2022;SoDielgetic|FontSonora|EnvolventADSR;https://cdn.freesound.org/previews/322/322484_5514134-hq.mp3;Electrònic;Kbps64;True;3,10372
434423;explosion04.wav;V-ktor;2024;SoDielgetic|FrequenciaDeMostratge;https://cdn.freesound.org/previews/434/434423_8836484-hq.mp3;Urbà;Kbps96;False;3,0939199
434425;explosion02.wav;V-ktor;2019;CaptacioDeCamp|Postprocessament;https://cdn.freesound.org/previews/434/434425_8836484-hq.mp3;Electrònic;Kbps128;False;2,8506999
435416;explosion13.wav;V-ktor;2020;;https://cdn.freesound.org/previews/435/435416_8836484-hq.mp3;Mecànic;Kbps64;False;1,06052
322488;Explosion 8;LiamG_SFX;2021;TexturaSonora|FontSonora|MonoStereoAmbisonic|PaisatgeSonor;https://cdn.freesound.org/previews/322/322488_5514134-hq.mp3;Foley;Kbps128;True;2,85057
347312;FUN-EXPLOSION01.wav;newagesoup;2022;AillamentAcustic|SoDielgetic;https://cdn.freesound.org/previews/347/347312_4067257-hq.mp3;Electrònic;Kbps192;True;3,75
35464;Explosion 7.wav;jobro;2022;;https://cdn.freesound.org/previews/35/35464_35187-hq.mp3;Foley;Kbps64;True;3
35458;Explosion 1.wav;jobro;2022;Postprocessament|SoDielgetic|FoleyArt|PaisatgeSonor|LlenguatgeSonor|FontSonora;https://cdn.freesound.org/previews/35/35458_35187-hq.mp3;Ambiental;Kbps96;True;3
35459;Explosion 2.wav;jobro;2019;FontSonora|FrequenciaDeMostratge;https://cdn.freesound.org/previews/35/35459_35187-hq.mp3;Urbà;Kbps360;True;5,99995
