Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Resolucio;FrameRate;DuradaSegons;Tema
youtube-LVprvDpIUkQ;This #Indiana man survived his fifth #tornado;Stay Tuned;2023;DivulgacioCultural|CronicaVisual|MuntatgeNarratiu|RigorInformatiu|TestimoniDirecte;https://www.youtube.com/watch?v=LVprvDpIUkQ;4K;25;2700;A man in #Indiana recalls his quick action when a #tornado ripped through his house. Stay Tuned is a...
cctv15mi-Vibe_Credit_Union_Community_Engagement_Specialist_Discusses_Supporting_Community_Events;Vibe Credit Union Community Engagement Specialist Discusses Supporting Community Events;CCT;2020;MuntatgeNarratiu|PostproduccioAudio|DivulgacioCultural|CinematografiaRealista|GuióDeNoFicció|FilmacióDeCamp;;1080p;60;7200;Ngoc Do, Community Engagement Specialist at Vibe Credit Union, joins the show to discuss how you can...
youtube-CBqskzZrXJ8;Is a China-Style Mass Surveillance Coming to The West;WTF is Going On;2023;NarracioDocumental;https://www.youtube.com/watch?v=CBqskzZrXJ8;1080p;30;9000;China’s ambition to collect a staggering amount of personal data from everyday citizens is more expa...
lindell-absolute-proof;[DELETED];;2021;DivulgacioCultural|RigorInformatiu|CinematografiaRealista|GuióDeNoFicció|NarracioDocumental|ArxiuHistoric;;4K;60;9000;
zendegi_be_sabke_akharozaman_09;مستند زندگی به سبک آخرالزمان- قسمت نهم- غذا;علی رضایی و مجید املشی(Ali Rezaei & Majid Amlashi);2014;FilmacióDeCamp|GuióDeNoFicció;;1080p;25;3600;با آغاز قرن بیستم، شاهد درگیری کشورهای قدرتمند به منظور سیطره آسان تر بر جهان، از طریق القای سبک زند...
2020.02.24-no-longer-silenced-jo-jo-and-her-powerhouse-voice-are-back;No Longer Silenced, Jo Jo And Her Powerhouse Voice Are Back;;2020;CronicaVisual;;720p;60;5400;JoJo is still here. After becoming the youngest solo artist in history to top the charts at 13-years...
HrhovskCesta3;Old road of Hrhov/ Stará hrhovská cesta 3;Matúš Taratuta;2018;FilmacióDeCamp|CinematografiaRealista|RecercaPeriodistica;;1080p;60;3600;Documentary footage of the old, not longer used, 18. century carriage road, connecting Leutschau and...
PRESSTV_20230210_003200_Documentary__The_Stories_of_the_Revolution_The_Welcoming_Committee_1;Documentary : The Stories of the Revolution: The Welcoming Committee 1 : PRESSTV : February 10, 2023 4:02am-4:30am IRST;;2023;RecercaPeriodistica|MuntatgeNarratiu|NarracioDocumental;;480p;25;7200;Fed up with the dictatorship of Mohammad Reza Shah, the Iranian nation took to the streets in 1979. ...
PRESSTV_20230326_013500_Documentary__The_Brothers_Omidvar_1;Documentary : The Brothers Omidvar 1 : PRESSTV : March 26, 2023 5:05am-5:29am IRST;;2023;TestimoniDirecte;;4K;24;2700;The daring adventures of two Iranian brothers around the world, into the heart of the Amazon, atop t...
LoisXiangTheBeijingJam_4;The Beijing Jam;Lois Xiang;0;DivulgacioCultural|MuntatgeNarratiu|ArxiuHistoric|CinematografiaRealista;;1080p;25;2700;The Beijing Jam a Lois Xiang's Film
GoofingOffElection;Goofing Off Election;;0;CinematografiaRealista;;1080p;60;5400;home country
IanPaulFifeStrathSpey_ReelSocietyDocumentaryExtras;Fife StrathSpey & Reel Society Documentary Extras;Ian Paul;0;TestimoniDirecte|GuióDeNoFicció;;1080p;30;9000;A snippet of information about the Society's patron.
TheArrivalsPt.01ProofFromTheHolyQuran;مستند ظهور با زیرنویس فارسی- قسمت دوم- سندی از قرآن (The Arrivals);Noreagaa & Achernahr - wakeupproject.- (ترجمه و زیرنویس: کاری از گروه مترجمان بیداری اندیشه);2010;MuntatgeNarratiu|RigorInformatiu|DivulgacioCultural|CronicaVisual|PostproduccioAudio|FilmacióDeCamp;;480p;30;2700;می خواهیم شما را به دیدن یکی از مهمترین، قویترین و تأثیرگذارترین مستندهای روی اینترنت دعوت کنیم. این...
PRESSTV_20230402_043200_Documentary__The_Divine_Feast_1;Documentary : The Divine Feast 1 : PRESSTV : April 2, 2023 8:02am-8:31am IRST;;2023;CronicaVisual|GuióDeNoFicció;;1080p;60;2700;The present documentary looks into fasting during the holy month of Ramadan from different aspects t...
PRESSTV_20230627_163200_Documentary__He_Was_a_Teacher_1;Documentary : He Was a Teacher 1 : PRESSTV : June 27, 2023 8:02pm-8:31pm IRST;;2023;TestimoniDirecte|NarracioDocumental;;4K;30;2700;Ayatollah Beheshti is, without doubt, among the leading figures of the Islamic Revolution of Iran in...
PRESSTV_20230303_163200_Documentary__Ranger_and_Leopard_3;Documentary : Ranger and Leopard 3 : PRESSTV : March 3, 2023 8:02pm-8:31pm IRST;;2023;CronicaVisual|PostproduccioAudio|MuntatgeNarratiu|TestimoniDirecte|RigorInformatiu|RecercaPeriodistica;;4K;60;9000;An Iranian ranger thinks that there must be a Persian leopard in an area under his protection. But n...
PRESSTV_20230304_143200_Documentary__The_Bushi_Trading_House_1;Documentary : The Bushi Trading House 1 : PRESSTV : March 4, 2023 6:02pm-6:30pm IRST;;2023;NarracioDocumental|CronicaVisual|ArxiuHistoric|RecercaPeriodistica;;4K;60;2700;In the ruined city of Aleppo there are still places brimming with love and humanity. Abu Rajab’s nur...
PRESSTV_20230411_163200_Documentary__Tous_Pilgrims_Abu_Hussein_1;Documentary : Tous Pilgrims: Abu Hussein 1 : PRESSTV : April 11, 2023 8:02pm-8:28pm IRST;;2023;CinematografiaRealista|CronicaVisual|RigorInformatiu;;4K;24;5400;Abu Hussein has visited the Holy Shrine of Imam Reza in Mashhad during the month of Ramadan, through...
PRESSTV_20221207_003200_Documentary__My_Dear_Bahman_1;Documentary : My Dear Bahman 1 : PRESSTV : December 7, 2022 4:02am-4:30am IRST;;2022;GuióDeNoFicció|NarracioDocumental|CronicaVisual|MuntatgeNarratiu;;480p;60;3600;This is the amazing story of Bahman, an Iranian athlete who stepped on a mine during the Iran-Iraq w...
PRESSTV_20221210_213200_Documentary__Currents_of_Life_Isabelle_Wachter_1;Documentary : Currents of Life: Isabelle Wachter 1 : PRESSTV : December 11, 2022 1:02am-1:31am IRST;;2022;FilmacióDeCamp|GuióDeNoFicció|CronicaVisual|RigorInformatiu|DivulgacioCultural;;720p;24;2700;This program interviews Isabelle Anne Watcher, a German lawyer and mother of three who has embraced ...
PRESSTV_20230807_163200_Documentary__Stateless_1;Documentary : Stateless 1 : PRESSTV : August 7, 2023 8:02pm-8:30pm IRST;;2023;CinematografiaRealista|GuióDeNoFicció|DivulgacioCultural;;1080p;24;5400;Non-American U.S. veterans, who have served in the country's military, reveal the United States' dou...
PRESSTV_20230909_143200_Documentary__The_Path_of_Love_Um_Mujahid_1;Documentary : The Path of Love: Um Mujahid 1 : PRESSTV : September 9, 2023 6:02pm-6:31pm IRST;;2023;GuióDeNoFicció|CronicaVisual;;480p;25;2700;Um Mujahid has always served Imam Hussein (AS) and his pilgrims. Although in the past lack of facili...
PRESSTV_20230502_113200_Documentary__The_Green_Tear_2;Documentary : The Green Tear 2 : PRESSTV : May 2, 2023 3:02pm-3:31pm IRST;;2023;DivulgacioCultural|RigorInformatiu|CronicaVisual|FilmacióDeCamp;;720p;25;7200;In Muzo, Colombia, emerald is actually mined by local people laborers, but a huge share of the profi...
PRESSTV_20230514_053200_Documentary__Video_Game_Abuse_is_a_Health_Hazard_3;Documentary : Video Game Abuse is a Health Hazard 3 : PRESSTV : May 14, 2023 9:02am-9:31am IRST;;2023;DivulgacioCultural|CinematografiaRealista|RecercaPeriodistica|NarracioDocumental|ArxiuHistoric|FilmacióDeCamp;;480p;60;9000;This film is about the hazards of video games addiction among teenagers. The consequences, including...
PRESSTV_20230520_163200_Documentary__Quintin_Lame_2;Documentary : Quintín Lame​ 2 : PRESSTV : May 20, 2023 8:02pm-8:31pm IRST;;2023;;;4K;25;5400;This documentary looks into the life and peaceful resistance of Quintín Lame, a Colombian indigenous...
PRESSTV_20230310_150300_Documentary__Five_Minutes_1;Documentary : Five Minutes 1 : PRESSTV : March 10, 2023 6:33pm-7:01pm IRST;;2023;;;4K;30;2700;A group of Spanish tourists recount how Daesh terrorists entered the holy shrine of Shah Cheragh in ...
PRESSTV_20230313_213200_Documentary__The_Old_man_and_the_Vocalist_1;Documentary : The Old man and the Vocalist 1 : PRESSTV : March 14, 2023 1:02am-1:30am IRST;;2023;CronicaVisual|GuióDeNoFicció|NarracioDocumental|TestimoniDirecte|PostproduccioAudio;;4K;24;2700;An old man with a zest for life and a smile on his face, Abu Omar is living in his half-destroyed ho...
PRESSTV_20230314_053200_Documentary__The_Old_man_and_the_Vocalist_2;Documentary : The Old man and the Vocalist 2 : PRESSTV : March 14, 2023 9:02am-9:31am IRST;;2023;PostproduccioAudio|RigorInformatiu|ArxiuHistoric|FilmacióDeCamp|GuióDeNoFicció;;720p;30;5400;An old man with a zest for life and a smile on his face, Abu Omar is living in his half-destroyed ho...
PRESSTV_20230821_213200_Documentary__Twenty_Years_1;Documentary : Twenty Years 1 : PRESSTV : August 22, 2023 1:02am-1:31am IRST;;2023;FilmacióDeCamp|MuntatgeNarratiu|RigorInformatiu|GuióDeNoFicció;;480p;60;5400;The War in Afghanistan, contrary to U.S. and Western claims, was not about war on terrorism. The doc...
PRESSTV_20230806_163200_Documentary__I_Am_Become_Death_2;Documentary : I Am Become Death 2 : PRESSTV : August 6, 2023 8:02pm-8:31pm IRST;;2023;;;4K;25;5400;During World War II, the US made a nuclear bomb and chose Japan to test the bomb. But the massive de...
PRESSTV_20230904_163200_Documentary__The_Path_of_Love_Two_Pilgrims_1;Documentary : The Path of Love: Two Pilgrims 1 : PRESSTV : September 4, 2023 8:02pm-8:31pm IRST;;2023;GuióDeNoFicció|CinematografiaRealista;;1080p;30;7200;Iraqis are steadfast in serving the pilgrims of Arbaeen. Um Fares and Um Madlul are two of the pilgr...
PRESSTV_20230902_073300_Documentary__A_Walk_towards_a_Perfect_World_1;Documentary : A Walk towards a Perfect World 1 : PRESSTV : September 2, 2023 11:03am-11:30am IRST;;2023;;;1080p;25;3600;Every year, Shia Muslims joined by followers of other faiths go on the 800-kilometer walk from Najaf...
PRESSTV_20230126_113200_Documentary__Darayya_1;Documentary : Darayya 1 : PRESSTV : January 26, 2023 3:02pm-3:31pm IRST;;2023;FilmacióDeCamp|CinematografiaRealista|CronicaVisual|MuntatgeNarratiu|RigorInformatiu|DivulgacioCultural;;4K;24;5400;After tensions in Syria subside, a group of Iranian documentary filmmakers goes to the city of Daray...
PRESSTV_20221227_053200_Documentary__Qassem_2;Documentary : Qassem 2 : PRESSTV : December 27, 2022 9:02am-9:29am IRST;;2022;PostproduccioAudio|TestimoniDirecte;;4K;25;7200;If you want to know more about the life of Iran's legendary hero who fought for peace in the region,...
