Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;Tecnica;NumeroSerie;DimensionsFisiques
181616;Self-Portrait Etching at a Window;Rembrandt van Rijn Dutch, 1606-1669;1648;TiratgeLimitat|ProvaDEstat|EstampacioManual;https://www.artic.edu/iiif/2/a7c1f371-c9e9-7ff3-6e7e-949ae12dc939/full/843,/0/default.jpg;Català;100;Editorial d'Art;978-9-30931-925-0;2;Etching, drypoint and burin in black on ivory laid paper;79;20x30 cm
27;Remembrance of Italy;Jean-Baptiste-Camille Corot (French, 1796-1875) printed by Auguste Delâtre (French, 1822-1907) published by Cadart et Chavalier, Editeurs (French, 1801-1900);1866;ProvaDEstat|Entintat|GravatEnRelleu|PremsaTòrcul|Registra;https://www.artic.edu/iiif/2/ab107179-7106-937e-7676-e0263b02e530/full/843,/0/default.jpg;Anglès;1000;Institut Gràfic;978-7-46396-524-5;1;Etching on tan laid paper;73;30x40 cm
65;Fishing Craft near the Cliffs at Collioure;Adolphe Appian French, 1818-1898;1878;PuntaSeca|ProvaDEstat|Aiguafort|GravatEnRelleu;https://www.artic.edu/iiif/2/6983bf9e-3cd8-c42d-4c91-cd646c97399c/full/843,/0/default.jpg;Castellà;500;Galeria d'Art;978-5-50813-814-9;1;Etching on China paper colle laid down on white wove paper;30;30x40 cm
16;The Fall of the Giants;Salvator Rosa Italian, 1615-1673;1663;;https://www.artic.edu/iiif/2/e82b61d4-1d5b-a15d-4d2e-ff9caca3fb51/full/843,/0/default.jpg;Anglès;1000;Institut Gràfic;978-5-96130-256-0;1;Etching with drypoint in black on ivory laid paper;54;20x30 cm
28;Souvenir of Tuscany;Jean-Baptiste-Camille Corot French, 1796-1875;1845;Entintat|MatriuOriginal;https://www.artic.edu/iiif/2/72cc9b54-7549-dda8-9720-51c36e67ba3b/full/843,/0/default.jpg;Català;500;Galeria d'Art;978-2-58354-745-7;2;Etching on ivory laid paper;36;30x40 cm
70;The Double Bass Player;Alphonse Legros French, 1837-1911;1873;Registra|NumeracioIAsignatura;https://www.artic.edu/iiif/2/467b538e-158b-7422-7f5a-0b87d325648b/full/843,/0/default.jpg;Italià;1000;Galeria d'Art;978-4-20605-119-8;1;Etching on ivory Japanese tissue;40;40x50 cm
19;View of Ponte Lugano on the Anio, from Views of Rome;Giovanni Battista Piranesi (Italian, 1720-1778) published by Francesco (Italian, 1758-1810) and Pietro Piranesi (Italian, born 1758/9);1763;TiratgeLimitat|Entintat|Registra|GravatEnRelleu;https://www.artic.edu/iiif/2/7f5429b5-a966-ccbe-1ce3-7f131e96bf87/full/843,/0/default.jpg;Castellà;250;Institut Gràfic;978-7-40729-557-2;2;Etching on heavy ivory laid paper;77;20x30 cm
117445;François Bonvin Etching;François Bonvin French, 1817-1887;1861;Registra|PremsaTòrcul|EstampacioManual|MatriuOriginal|TiratgeLimitat|NumeracioIAsignatura;https://www.artic.edu/iiif/2/3894383c-27f3-9a96-6602-6f0e0c7d3a08/full/843,/0/default.jpg;Italià;100;Institut Gràfic;978-6-81753-474-7;2;Etching with drypoint on cream laid paper;81;50x70 cm
9381;Head of an Old Woman (so-called portrait of Visscher's mother);Cornelis Visscher Dutch, c. 1629-1658;1649;ProvaDEstat|NumeracioIAsignatura|MatriuOriginal|Registra;https://www.artic.edu/iiif/2/d099937b-f769-3aab-9f0d-b0a2598ae131/full/843,/0/default.jpg;Italià;500;Galeria d'Art;978-7-34788-416-4;1;Etching and engraving on ivory laid paper;21;40x50 cm
20;It Rocks but is Not Sunk;Charles Meryon French, 1821-1868;1854;GravatEnRelleu;https://www.artic.edu/iiif/2/67f10695-cb9d-f716-9cd0-902217ebb317/full/843,/0/default.jpg;Italià;1000;Galeria d'Art;978-1-52688-778-3;1;Etching on ivory laid paper;40;20x30 cm
110717;Henri Matisse Etching;Henri Matisse French, 1869-1954;1900;;https://www.artic.edu/iiif/2/04d366a4-7a21-d608-e8a4-aeddb1f06f3c/full/843,/0/default.jpg;Castellà;750;Museu Nacional;978-4-56751-359-8;1;Drypoint in black ink on cream wove paper;90;30x40 cm
