Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;TipusCaligrafia;EstatConservacio;MaterialSuport;Pagines
10927;Saint Benedict Presenting his Rule to Benedictine and Cistercian Monks in a Historiated Initial O from a Choirbook;Italian (Siena) Martino di Bartolomeo (Italian, 1389-1434/5) 1394/95;1394;Paleografia;https://www.artic.edu/iiif/2/54f0b704-7108-5b91-1d0f-585758267fb4/full/843,/0/default.jpg;Català;2000;Gòtica;Excel·lent;Manuscript cutting with tempera and gold leaf, with rounded gothica textualis inscriptions in black ink, ruled in red, on parchment;366
14698;Decorated Initial G in Pink with Curling Leaves from a Manuscript;European;1419;Codicologia|Il·luminacio;https://www.artic.edu/iiif/2/86296102-d04c-8413-34e0-36d96668c0dd/full/843,/0/default.jpg;Llatí;500;Carolina;Bo;Manuscript cutting in tempera and gold leaf on vellum;375
14691;Bishop at Mass in a Historiated Initial P from a Choirbook;French or possibly southern Netherlandish follower of Master Honoré (French, flourished 1288-1300);1300;EstatDeConservacio|Transcripcio|Paleografia|Cal·ligrafia;https://www.artic.edu/iiif/2/2fc10d4a-d1e1-4f9a-ba60-aaf19aa27379/full/843,/0/default.jpg;Castellà;1000;Uncial;Bo;Manuscript cutting in tempera and gold leaf, with Latin inscriptions in gothic book hand, verso, in black ink, on parchment;208
14694;St. Francis of Assisi with Donors in a Historiated Initial from an Unidentified Manuscript;Italian (Florence);1400;Incipit;https://www.artic.edu/iiif/2/5201d68a-5b91-4adb-8130-b11f7756d003/full/843,/0/default.jpg;Llatí;1000;Cursiva;Delicat;Manuscript cutting in tempera and gold leaf on parchment;140
14705;Decorated Initial G in Grey with Red, Green and Blue Leaves from a Manuscript;European;1419;Codicologia|Cal·ligrafia|EstatDeConservacio|Il·luminacio|Autografia|Paleografia;https://www.artic.edu/iiif/2/1e094ff6-8274-d0c2-d314-4dd0626e03fb/full/843,/0/default.jpg;Àrab;500;Cursiva;Bo;Manuscript cutting in tempera and gold leaf on vellum;51
158772;Bound Manuscript: The Miracles of Mary (Te'amire Maryam);Gondar, Ethiopia Eastern and Southern Africa;17;Datació;https://www.artic.edu/iiif/2/e9ad2413-352a-807e-aaa9-a198100257c5/full/843,/0/default.jpg;Castellà;10000;Humanística;Excel·lent;Parchment, ink, tempera, wood, leather, cotton, and string;268
2174;Table of Bigamy, from the Summa Super Titulis Decretalium Completa;French (likely Toulouse) text by Henry of Segusio (Italian, c. 1200-1271);1275;Filigrana|Incipit|Autografia;https://www.artic.edu/iiif/2/e67d1ada-72dc-3e57-a0ec-3c147093d5fe/full/843,/0/default.jpg;Castellà;5000;Cursiva;Delicat;Manuscript cutting in tempera and gold leaf, with gothic book hand inscriptions in Latin in pen and dark brown ink, with red and blue ink headers, ruled in graphite, on parchment;438
8205;Illuminated Initial N with Acanthus Leaves from a Choirbook;European (possibly France);1819;Cal·ligrafia;https://www.artic.edu/iiif/2/0ebbb91d-56fb-d32c-bd2f-83566ed0c60c/full/843,/0/default.jpg;Llatí;1000;Carolina;Necessita restauració;Manuscript cutting in tempera, gold leaf and gold paint on vellum;54
11782;Praying Saint (Moses?) with Christ in a Historiated Initial L, from a Choirbook;Italian (probably Rimini) related to the style of Neri da Rimini (Italian, active 1300-1322);1300;Incipit|Autografia|Filigrana|EstatDeConservacio|SuportMaterial|Cal·ligrafia;https://www.artic.edu/iiif/2/308fb5b0-97a5-fe9d-1c25-783ba98b621b/full/843,/0/default.jpg;Llatí;500;Gòtica;Regular;Manuscript cutting in tempera and gold leaf, with gothica textura inscriptions in light black ink, verso, ruled in red, on parchment;415
8621;Speculum Humanae Salvationis;English from the Abbey of Great Missenden;1382;Datació|Incipit|AnotacionsMarginals;https://www.artic.edu/iiif/2/9dda2681-8fdf-2113-afd0-0bb2e7503c4f/full/843,/0/default.jpg;Castellà;2000;Gòtica;Delicat;Manuscript with 111 folios and many drawings in pen and brown and red inks, a few with tempera, and some traced in graphite, with other decorations and Latin inscriptions in Anglicana formata in brownish black and red ink, ruled in red, on vellum, bound in oak boards with worn sheepskin covers, missing chain and clasps from upper cover;14
