Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Resolucio;FrameRate;DuradaSegons;Director;ClassificacioEdat
840464;Greenland 2: Migration;Quentin Tarantino;2026;DireccióArtística|DissenyDeProducció;https://api.themoviedb.org/3/movie//z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg/images?language=ca-ES;1080p;24;6300;Quentin Tarantino;TP
1368166;The Housemaid;James Cameron;2026;GuióCinematogràfic;https://api.themoviedb.org/3/movie//mJGFduBPAzTKzOeCeTjBBOxnalB.jpg/images?language=ca-ES;720p;30;6300;James Cameron;TP
1168190;Germans de gresca;Christopher Nolan;2026;NarrativaVisual|DissenyDeProducció|MuntatgeFinal|BandaSonoraOriginal|SoDirecte;https://api.themoviedb.org/3/movie//141Ls2OyYtOlNAroxoluHpgjQ0x.jpg/images?language=ca-ES;1080p;24;5400;Christopher Nolan;TP
1315303;Primate;Quentin Tarantino;2026;NarrativaVisual|Etalonatge;https://api.themoviedb.org/3/movie//57cyAMc9c8iveudogTRuDOQjujn.jpg/images?language=ca-ES;8K;24;6300;Quentin Tarantino;TP
1084242;Zootròpolis 2;James Cameron;2025;DireccióDeFotografia;https://api.themoviedb.org/3/movie//dzH3tGZbVlVFyTeqvWfp9j1D1Zi.jpg/images?language=ca-ES;720p;60;9000;James Cameron;TP
1419406;捕风追影;Christopher Nolan;2025;Etalonatge|EfectesEspecials;https://api.themoviedb.org/3/movie//uFsqAak0ClSwtXiZUO1JgzpFH6y.jpg/images?language=ca-ES;8K;24;8100;Christopher Nolan;TP
1601243;Oscar Shaw;James Cameron;2026;SoDirecte|DissenyDeProducció|MuntatgeFinal|GuióCinematogràfic;https://api.themoviedb.org/3/movie//tsE3nySukwrfUjouz8vzvKTcXNC.jpg/images?language=ca-ES;4K;24;8100;James Cameron;TP
1317288;Marty Supreme;James Cameron;2026;SoDirecte|DireccióArtística;https://api.themoviedb.org/3/movie//lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg/images?language=ca-ES;1080p;30;9000;James Cameron;TP
1242898;Predator: Badlands;James Cameron;2025;;https://api.themoviedb.org/3/movie//pHpq9yNUIo6aDoCXEBzjSolywgz.jpg/images?language=ca-ES;720p;30;6300;James Cameron;TP
1310568;Murder at the Embassy;Christopher Nolan;2025;Interpretació|MuntatgeFinal|DireccióArtística|EfectesEspecials;https://api.themoviedb.org/3/movie//3DBmBItPdy0A2ol59jgHhS54Lua.jpg/images?language=ca-ES;1080p;30;5400;Christopher Nolan;TP
83533;Avatar: Foc i cendra;Steven Spielberg;2025;Interpretació|Continuïtat|DireccióDeFotografia;https://api.themoviedb.org/3/movie//9S3yYhfd7ahVdoFgEBVh02eCjzA.jpg/images?language=ca-ES;8K;30;5400;Steven Spielberg;TP
1584215;The Internship;Christopher Nolan;2026;SoDirecte|DireccióArtística|BandaSonoraOriginal|Interpretació|Continuïtat;https://api.themoviedb.org/3/movie//fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg/images?language=ca-ES;4K;60;7200;Christopher Nolan;TP
1271895;96分鐘;Quentin Tarantino;2025;DireccióArtística|Etalonatge|NarrativaVisual|SoDirecte|DissenyDeProducció|GuióCinematogràfic;https://api.themoviedb.org/3/movie//5HefFZDvzHAR4qWEMExLfyM0qLs.jpg/images?language=ca-ES;4K;30;5400;Quentin Tarantino;TP
755898;War of the Worlds;Quentin Tarantino;2025;BandaSonoraOriginal|MuntatgeFinal|EfectesEspecials|GuióCinematogràfic|DireccióDeFotografia|DireccióArtística;https://api.themoviedb.org/3/movie//yvirUYrva23IudARHn3mMGVxWqM.jpg/images?language=ca-ES;1080p;25;5400;Quentin Tarantino;TP
1426964;Salve Geral: Irmandade;Christopher Nolan;2026;DissenyDeProducció|DireccióDeFotografia|Etalonatge|EfectesEspecials|MuntatgeFinal;https://api.themoviedb.org/3/movie//5AAzx2bcorTZUVe4Sk6yqhMBq1s.jpg/images?language=ca-ES;720p;30;9000;Christopher Nolan;TP
