Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons;Presentador;NumeroEpisodi;Tema
1146392357;El Partidazo de COPE;COPE;2020;ProduccioEpisodica;https://podcasts.apple.com/es/podcast/el-partidazo-de-cope/id1146392357;Deportes;Kbps96;True;2700;COPE;61;Psicologia|Productivitat
1455818214;La Ruina;La Ruina;2018;ProduccioEpisodica|GuióNarratiu|CaptacióVocal|Podiocomunitat|EnregistramentAsincron|DissenySonor;https://podcasts.apple.com/es/podcast/la-ruina/id1455818214;Comedia;Kbps64;True;5400;La Ruina;88;Societat
665143133;Nadie Sabe Nada;SER Podcast;2023;AudioALaCarta|SintoniaICapçalera|DistribucióRSS;https://podcasts.apple.com/es/podcast/nadie-sabe-nada/id665143133;Comedia;Kbps96;True;900;SER Podcast;13;Hàbits
1738229736;ROCA PROJECT;Carlos Roca;2021;NotaDeLEpisodi|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/roca-project/id1738229736;Cultura y sociedad;Kbps128;True;2700;Carlos Roca;10;Benestar|Psicologia|Negocis|Hàbits|Tecnologia
330326320;Es la Mañana de Federico;esRadio;2023;;https://podcasts.apple.com/es/podcast/es-la-ma%C3%B1ana-de-federico/id330326320;Noticias;Kbps128;True;3600;esRadio;6;
128497079;El Larguero;SER Podcast;2023;ContingutTematic|EnregistramentAsincron|CaptacióVocal|ProduccioEpisodica|GuióNarratiu;https://podcasts.apple.com/es/podcast/el-larguero/id128497079;Deportes;Kbps96;True;2700;SER Podcast;53;Creativitat|Productivitat|Societat
983656582;Más de uno;OndaCero;2024;SintoniaICapçalera|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/m%C3%A1s-de-uno/id983656582;Noticias;Kbps96;True;2700;OndaCero;71;Societat|Hàbits|Tecnologia
1832653238;La noche de Cuesta;esRadio;2020;ProduccioEpisodica|DistribucióRSS|AudioALaCarta|SintoniaICapçalera|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/la-noche-de-cuesta/id1832653238;Noticias;Kbps64;True;2700;esRadio;40;Benestar|Futur
1549358657;Criminopatía;Clara Tiscar;2024;EnregistramentAsincron|GuióNarratiu|PostproduccioDigital|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/criminopat%C3%ADa/id1549358657;Crímenes reales;Kbps64;True;1800;Clara Tiscar;60;Hàbits|Futur|Cultura|Tecnologia|Societat
1023685549;Todo Concostrina;SER Podcast;2021;SintoniaICapçalera|Podiocomunitat|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/todo-concostrina/id1023685549;Historia;Kbps64;True;5400;SER Podcast;83;Futur
836615633;Crónica Rosa;esRadio;2019;;https://podcasts.apple.com/es/podcast/cr%C3%B3nica-rosa/id836615633;Noticias;Kbps360;True;5400;esRadio;79;Futur
1499340862;El colegio invisible;OndaCero;2024;AudioALaCarta|PostproduccioDigital|ContingutTematic;https://podcasts.apple.com/es/podcast/el-colegio-invisible/id1499340862;Historia;Kbps128;True;1800;OndaCero;68;
441005128;La brújula;OndaCero;2018;EnregistramentAsincron|CaptacióVocal|SintoniaICapçalera|Podiocomunitat|DissenySonor;https://podcasts.apple.com/es/podcast/la-br%C3%BAjula/id441005128;Noticias;Kbps360;True;1800;OndaCero;86;Productivitat
647849954;La escóbula de la brújula;Podium Podcast;2022;PostproduccioDigital|DissenySonor|DistribucióRSS|AudioALaCarta;https://podcasts.apple.com/es/podcast/la-esc%C3%B3bula-de-la-br%C3%BAjula/id647849954;Historia;Kbps360;True;900;Podium Podcast;48;Benestar
