Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Resolucio;FrameRate;DuradaSegons;Temporada;Episodi
1416;Anatomia de Grey;US;2005;BandaSonoraTemàtica|BíbliaDeSèrie|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg/images?language=ca-ES;720p;24;1800;1;22
456;Els Simpson;US;1989;Cliffhanger|Showrunner|BandaSonoraTemàtica|PostproduccióSeparant|GuióSerialitzat|AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//vIvV6lN8UdYFhYfeW04lVxrGtxg.jpg/images?language=ca-ES;4K;24;3600;5;18
1622;Supernatural;US;2005;;https://api.themoviedb.org/3/movie//u40gJarLPlIkwouKlzGdobQOV9k.jpg/images?language=ca-ES;4K;30;3000;5;1
2734;Law & Order: Unitat especial de víctimes;US;1999;;https://api.themoviedb.org/3/movie//iofokHZoUB4Qhik4PflvJl8TT6a.jpg/images?language=ca-ES;720p;60;1200;6;20
79744;The Rookie;US;2018;;https://api.themoviedb.org/3/movie//70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg/images?language=ca-ES;720p;60;1800;5;16
1434;Family Guy;US;1999;DoblatgeISubtitulació|ContinuïtatLogística|ArcNarratiu|BíbliaDeSèrie|GuióSerialitzat|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//3PFsEuAiyLkWsP4GG6dIV37Q6gu.jpg/images?language=ca-ES;4K;30;2700;6;2
19530;霹靂布袋戲;TW;1988;ArcNarratiu|DesenvolupamentDePersonatge|BíbliaDeSèrie|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//sBVfyRYPmKSARRTodsTbwHqgcRA.jpg/images?language=ca-ES;720p;25;3600;5;14
66732;Stranger Things;US;2016;DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg/images?language=ca-ES;720p;30;2700;3;19
4614;NCIS;US;2003;PostproduccióSeparant;https://api.themoviedb.org/3/movie//mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg/images?language=ca-ES;8K;30;2700;4;17
549;Law & Order;US;1990;BandaSonoraTemàtica|Showrunner|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//haJ9eHytVO3H3JooMJG1DiWwDNm.jpg/images?language=ca-ES;720p;25;3600;6;9
